unit,tra_meas,airp_pr\time	2017Q2 	2017Q1 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2016 
SEAT,ST_PAS,ME_LYPG_RS_LYBE	96212 	91674 	31011 	32935 	32266 	31782 	29502 	30390 	92080 	96882 	99016 	82139 	30978 	29644 	31458 	30996 	32866 	33020 	31883 	33976 	33157 	28193 	25349 	28597 	370117 
SEAT,ST_PAS,ME_LYPG_RU_UUDD	: 	: 	: 	: 	: 	: 	: 	: 	1480 	25634 	10696 	116 	232 	: 	1248 	5420 	9664 	10550 	9496 	1200 	: 	: 	116 	: 	37926 
SEAT,ST_PAS,ME_LYPG_SI_LJLJ	18471 	14886 	7271 	6274 	4926 	5300 	4524 	5062 	14658 	15448 	15272 	14830 	4406 	5142 	5110 	5126 	5030 	5292 	5196 	5012 	5064 	5400 	4912 	4518 	60208 
SEAT,ST_PAS,ME_LYPG_TR_LTBA	46398 	22678 	16326 	15472 	14600 	9564 	6630 	6484 	31960 	47074 	42944 	21514 	8382 	8518 	15060 	15600 	15824 	15650 	14244 	15040 	13660 	8196 	6586 	6732 	143492 
SEAT,ST_PAS,ME_LYPG_UK_EGSS	9816 	10206 	3018 	3396 	3402 	3402 	3024 	3780 	10200 	9828 	9828 	10200 	3774 	3024 	3402 	3024 	3402 	3402 	3402 	3402 	3024 	3402 	3024 	3774 	40056 
SEAT,ST_PAS,ME_LYTV_BY_UMMS	: 	: 	: 	: 	: 	: 	: 	: 	810 	25235 	8482 	: 	: 	: 	810 	8028 	8249 	8958 	7440 	882 	160 	: 	: 	: 	34527 
SEAT,ST_PAS,ME_LYTV_RS_LYBE	78688 	40657 	33370 	23770 	21548 	15840 	13296 	11521 	50641 	134878 	82177 	40603 	14409 	13952 	22280 	35100 	49394 	50384 	37110 	23576 	21491 	14241 	12259 	14103 	308299 
SEAT,ST_PAS,ME_LYTV_RU_ULLI	26197 	: 	23210 	2707 	280 	: 	: 	: 	1512 	58755 	20556 	232 	: 	: 	1512 	16903 	21458 	20394 	18260 	1960 	336 	: 	: 	232 	81055 
SEAT,ST_PAS,ME_LYTV_RU_UUDD	106917 	21624 	66690 	26295 	13932 	7662 	5650 	8312 	37192 	209384 	96384 	26880 	9644 	7716 	19832 	62385 	73741 	73258 	59390 	23262 	13732 	9386 	7140 	10354 	369840 
SEAT,ST_PAS,ME_LYTV_RU_UUEE	50906 	11120 	28556 	13174 	9176 	4644 	2688 	3788 	21884 	79636 	46258 	18974 	4028 	6560 	11296 	25924 	27758 	25954 	24618 	11996 	9644 	6642 	5578 	6754 	166752 
SEAT,ST_PAS,ME_LYTV_RU_UUWW	20542 	: 	16482 	4060 	: 	: 	: 	: 	: 	30556 	10656 	: 	: 	: 	: 	10782 	10616 	9158 	10158 	498 	: 	: 	: 	: 	41212 
SEAT,ST_PAS,ME_LYTV_UA_UKKK	: 	: 	: 	: 	: 	: 	: 	: 	760 	34380 	11290 	: 	: 	: 	760 	10020 	12370 	11990 	8410 	2280 	600 	: 	: 	: 	46430 
SEAT,ST_PAS,ME_LYTV_UK_EGKK	: 	: 	: 	: 	: 	: 	: 	: 	4230 	19534 	7598 	: 	: 	: 	4230 	6104 	6456 	6974 	5300 	2066 	232 	: 	: 	: 	31362 
SEAT,ST_PAS_ARR,ME_LYPG_AT_LOWW	17228 	9438 	6302 	5937 	4989 	3551 	2901 	2986 	13442 	19418 	15025 	9609 	3146 	3373 	6923 	5505 	7291 	6622 	5606 	4770 	4649 	3425 	3104 	3080 	57494 
SEAT,ST_PAS_ARR,ME_LYPG_BE_EBCI	4914 	4920 	1701 	1512 	1701 	1701 	1512 	1707 	4914 	4914 	4914 	4914 	1701 	1512 	1701 	1701 	1512 	1701 	1701 	1701 	1512 	1701 	1701 	1512 	19656 
SEAT,ST_PAS_ARR,ME_LYPG_CH_LSZH	: 	: 	: 	: 	: 	: 	: 	: 	4373 	8042 	6244 	3448 	1392 	1276 	1705 	2262 	2814 	2966 	2539 	2013 	1692 	1144 	928 	1376 	22107 
SEAT,ST_PAS_ARR,ME_LYPG_DE_EDDB	4932 	4908 	1719 	1512 	1701 	1701 	1512 	1695 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SEAT,ST_PAS_ARR,ME_LYPG_DE_EDDF	: 	: 	: 	: 	: 	: 	: 	: 	3957 	6792 	5077 	3240 	1233 	928 	1796 	2069 	2258 	2465 	2112 	1473 	1492 	1036 	928 	1276 	19066 
SEAT,ST_PAS_ARR,ME_LYPG_FR_LFPG	: 	: 	: 	: 	: 	: 	: 	: 	4144 	10601 	9264 	3124 	1268 	928 	1948 	2738 	4019 	3844 	2942 	4070 	2252 	1044 	920 	1160 	27133 
SEAT,ST_PAS_ARR,ME_LYPG_IT_LIRF	12150 	7680 	4162 	3955 	4033 	2812 	2280 	2588 	8030 	10015 	9069 	7840 	2550 	2393 	3087 	3036 	3574 	3405 	3035 	3031 	3003 	2716 	2528 	2596 	34954 
SEAT,ST_PAS_ARR,ME_LYPG_RS_LYBE	48313 	46263 	15560 	16620 	16133 	15858 	14900 	15505 	46151 	48441 	49580 	41193 	15473 	14949 	15729 	15498 	16491 	16452 	15963 	17044 	16573 	14149 	12765 	14279 	185365 
SEAT,ST_PAS_ARR,ME_LYPG_RU_UUDD	: 	: 	: 	: 	: 	: 	: 	: 	740 	12759 	5406 	116 	116 	: 	624 	2710 	4774 	5275 	4748 	658 	: 	: 	116 	: 	19021 
SEAT,ST_PAS_ARR,ME_LYPG_SI_LJLJ	9181 	7394 	3581 	3137 	2463 	2566 	2262 	2566 	7329 	7724 	7612 	7415 	2203 	2571 	2555 	2563 	2515 	2646 	2598 	2506 	2508 	2700 	2456 	2259 	30080 
SEAT,ST_PAS_ARR,ME_LYPG_TR_LTBA	23199 	11339 	8163 	7736 	7300 	4782 	3315 	3242 	15980 	23537 	21472 	10757 	4191 	4259 	7530 	7800 	7912 	7825 	7122 	7520 	6830 	4098 	3293 	3366 	71746 
SEAT,ST_PAS_ARR,ME_LYPG_UK_EGSS	4908 	5103 	1509 	1698 	1701 	1701 	1512 	1890 	5100 	4914 	4914 	5100 	1887 	1512 	1701 	1512 	1701 	1701 	1701 	1701 	1512 	1701 	1512 	1887 	20028 
SEAT,ST_PAS_ARR,ME_LYTV_BY_UMMS	: 	: 	: 	: 	: 	: 	: 	: 	810 	12892 	4108 	: 	: 	: 	810 	4014 	4473 	4405 	3587 	441 	80 	: 	: 	: 	17810 
SEAT,ST_PAS_ARR,ME_LYTV_RS_LYBE	39228 	19762 	16627 	11827 	10774 	7862 	6474 	5426 	25268 	67323 	40982 	20013 	7145 	6983 	11140 	17608 	24639 	25076 	18439 	11788 	10755 	7068 	5957 	6988 	153586 
SEAT,ST_PAS_ARR,ME_LYTV_RU_ULLI	13090 	: 	11607 	1343 	140 	: 	: 	: 	1302 	29173 	10500 	116 	: 	: 	1302 	8451 	10595 	10127 	9352 	980 	168 	: 	: 	116 	41091 
SEAT,ST_PAS_ARR,ME_LYTV_RU_UUDD	53815 	10464 	33401 	13448 	6966 	3773 	2767 	3924 	20702 	104988 	47854 	13208 	4822 	3800 	12080 	31251 	37145 	36592 	29415 	11573 	6866 	4635 	3454 	5119 	186752 
SEAT,ST_PAS_ARR,ME_LYTV_RU_UUEE	25603 	5560 	14278 	6737 	4588 	2322 	1344 	1894 	11122 	39818 	23134 	9487 	2014 	3280 	5828 	12962 	13879 	12977 	12309 	5998 	4827 	3321 	2789 	3377 	83561 
SEAT,ST_PAS_ARR,ME_LYTV_RU_UUWW	10271 	: 	8241 	2030 	: 	: 	: 	: 	: 	15278 	5328 	: 	: 	: 	: 	5391 	5308 	4579 	5079 	249 	: 	: 	: 	: 	20606 
SEAT,ST_PAS_ARR,ME_LYTV_UA_UKKK	: 	: 	: 	: 	: 	: 	: 	: 	760 	17550 	6000 	: 	: 	: 	760 	5175 	6250 	6125 	4470 	1230 	300 	: 	: 	: 	24310 
SEAT,ST_PAS_ARR,ME_LYTV_UK_EGKK	: 	: 	: 	: 	: 	: 	: 	: 	2057 	9767 	3799 	: 	: 	: 	2057 	3052 	3228 	3487 	2650 	1033 	116 	: 	: 	: 	15623 
SEAT,ST_PAS_DEP,ME_LYPG_AT_LOWW	17123 	9438 	6302 	5937 	4884 	3551 	2901 	2986 	13262 	19418 	15025 	9609 	3146 	3373 	6743 	5505 	7291 	6622 	5606 	4770 	4649 	3425 	3104 	3080 	57314 
SEAT,ST_PAS_DEP,ME_LYPG_BE_EBCI	4914 	4920 	1701 	1512 	1701 	1701 	1512 	1707 	4914 	4914 	4914 	4914 	1701 	1512 	1701 	1701 	1512 	1701 	1701 	1701 	1512 	1701 	1701 	1512 	19656 
SEAT,ST_PAS_DEP,ME_LYPG_CH_LSZH	: 	: 	: 	: 	: 	: 	: 	: 	4715 	8042 	6314 	3448 	1554 	1276 	1885 	2262 	2814 	2966 	2609 	2013 	1692 	1144 	928 	1376 	22519 
SEAT,ST_PAS_DEP,ME_LYPG_DE_EDDB	5102 	4908 	1719 	1682 	1701 	1701 	1512 	1695 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SEAT,ST_PAS_DEP,ME_LYPG_DE_EDDF	: 	: 	: 	: 	: 	: 	: 	: 	3813 	6900 	5077 	3240 	1089 	928 	1796 	2069 	2366 	2465 	2112 	1473 	1492 	1036 	928 	1276 	19030 
SEAT,ST_PAS_DEP,ME_LYPG_FR_LFPG	: 	: 	: 	: 	: 	: 	: 	: 	4144 	10601 	8984 	3124 	1268 	928 	1948 	2738 	4019 	3844 	2942 	3838 	2204 	1044 	920 	1160 	26853 
SEAT,ST_PAS_DEP,ME_LYPG_IT_LIRF	12150 	7680 	4162 	3955 	4033 	2812 	2280 	2588 	8146 	10015 	9157 	7840 	2550 	2509 	3087 	3036 	3574 	3405 	3123 	3031 	3003 	2716 	2528 	2596 	35158 
SEAT,ST_PAS_DEP,ME_LYPG_RS_LYBE	47899 	45411 	15451 	16315 	16133 	15924 	14602 	14885 	45929 	48441 	49436 	40946 	15505 	14695 	15729 	15498 	16375 	16568 	15920 	16932 	16584 	14044 	12584 	14318 	184752 
SEAT,ST_PAS_DEP,ME_LYPG_RU_UUDD	: 	: 	: 	: 	: 	: 	: 	: 	740 	12875 	5290 	: 	116 	: 	624 	2710 	4890 	5275 	4748 	542 	: 	: 	: 	: 	18905 
SEAT,ST_PAS_DEP,ME_LYPG_SI_LJLJ	9290 	7492 	3690 	3137 	2463 	2734 	2262 	2496 	7329 	7724 	7660 	7415 	2203 	2571 	2555 	2563 	2515 	2646 	2598 	2506 	2556 	2700 	2456 	2259 	30128 
SEAT,ST_PAS_DEP,ME_LYPG_TR_LTBA	23199 	11339 	8163 	7736 	7300 	4782 	3315 	3242 	15980 	23537 	21472 	10757 	4191 	4259 	7530 	7800 	7912 	7825 	7122 	7520 	6830 	4098 	3293 	3366 	71746 
SEAT,ST_PAS_DEP,ME_LYPG_UK_EGSS	4908 	5103 	1509 	1698 	1701 	1701 	1512 	1890 	5100 	4914 	4914 	5100 	1887 	1512 	1701 	1512 	1701 	1701 	1701 	1701 	1512 	1701 	1512 	1887 	20028 
SEAT,ST_PAS_DEP,ME_LYTV_BY_UMMS	: 	: 	: 	: 	: 	: 	: 	: 	: 	12343 	4374 	: 	: 	: 	: 	4014 	3776 	4553 	3853 	441 	80 	: 	: 	: 	16717 
SEAT,ST_PAS_DEP,ME_LYTV_RS_LYBE	39460 	20895 	16743 	11943 	10774 	7978 	6822 	6095 	25373 	67555 	41195 	20590 	7264 	6969 	11140 	17492 	24755 	25308 	18671 	11788 	10736 	7173 	6302 	7115 	154713 
SEAT,ST_PAS_DEP,ME_LYTV_RU_ULLI	13107 	: 	11603 	1364 	140 	: 	: 	: 	210 	29582 	10056 	116 	: 	: 	210 	8452 	10863 	10267 	8908 	980 	168 	: 	: 	116 	39964 
SEAT,ST_PAS_DEP,ME_LYTV_RU_UUDD	53102 	11160 	33289 	12847 	6966 	3889 	2883 	4388 	16490 	104396 	48530 	13672 	4822 	3916 	7752 	31134 	36596 	36666 	29975 	11689 	6866 	4751 	3686 	5235 	183088 
SEAT,ST_PAS_DEP,ME_LYTV_RU_UUEE	25303 	5560 	14278 	6437 	4588 	2322 	1344 	1894 	10762 	39818 	23124 	9487 	2014 	3280 	5468 	12962 	13879 	12977 	12309 	5998 	4817 	3321 	2789 	3377 	83191 
SEAT,ST_PAS_DEP,ME_LYTV_RU_UUWW	10271 	: 	8241 	2030 	: 	: 	: 	: 	: 	15278 	5328 	: 	: 	: 	: 	5391 	5308 	4579 	5079 	249 	: 	: 	: 	: 	20606 
SEAT,ST_PAS_DEP,ME_LYTV_UA_UKKK	: 	: 	: 	: 	: 	: 	: 	: 	: 	16830 	5290 	: 	: 	: 	: 	4845 	6120 	5865 	3940 	1050 	300 	: 	: 	: 	22120 
SEAT,ST_PAS_DEP,ME_LYTV_UK_EGKK	: 	: 	: 	: 	: 	: 	: 	: 	2173 	9767 	3799 	: 	: 	: 	2173 	3052 	3228 	3487 	2650 	1033 	116 	: 	: 	: 	15739 
