unit,tra_meas,airp_pr\time	2017Q2 	2017Q1 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2016 
PAS,PAS_CRD_DEP,ME_LYPG_UK_EGSS	4508 	4757 	1383 	1559 	1566 	1579 	1363 	1815 	4453 	4752 	4724 	4702 	1361 	1439 	1653 	1498 	1690 	1564 	1629 	1626 	1469 	1520 	1394 	1788 	18631 
PAS,PAS_CRD_DEP,ME_LYTV_BY_UMMS	: 	: 	: 	: 	: 	: 	: 	: 	: 	12643 	2546 	: 	: 	: 	: 	4147 	3851 	4645 	2323 	223 	: 	: 	: 	: 	15189 
PAS,PAS_CRD_DEP,ME_LYTV_RS_LYBE	26324 	12258 	11625 	8196 	6503 	4306 	4048 	3904 	16951 	60954 	25637 	13135 	4247 	4431 	8273 	16066 	24129 	20759 	11625 	8405 	5607 	4234 	4034 	4867 	116677 
PAS,PAS_CRD_DEP,ME_LYTV_RU_ULLI	7272 	: 	6846 	361 	65 	: 	: 	: 	171 	25393 	4640 	107 	: 	: 	171 	7535 	9781 	8077 	4255 	364 	21 	: 	: 	107 	30311 
PAS,PAS_CRD_DEP,ME_LYTV_RU_UUDD	32383 	7909 	19767 	8132 	4484 	2795 	1947 	3167 	12860 	97842 	28013 	8181 	2239 	3075 	7546 	29393 	35061 	33388 	17012 	7582 	3419 	2914 	1802 	3465 	146896 
PAS,PAS_CRD_DEP,ME_LYTV_RU_UUEE	15080 	3214 	8154 	4131 	2795 	1200 	930 	1084 	7565 	32877 	13658 	4581 	971 	2115 	4479 	10878 	11408 	10591 	7457 	3676 	2525 	1561 	1247 	1773 	58681 
PAS,PAS_CRD_DEP,ME_LYTV_RU_UUWW	8175 	: 	6808 	1367 	: 	: 	: 	: 	: 	14449 	3884 	: 	: 	: 	: 	5189 	4946 	4314 	3871 	13 	: 	: 	: 	: 	18333 
PAS,PAS_CRD_DEP,ME_LYTV_UA_UKKK	: 	: 	: 	: 	: 	: 	: 	: 	: 	14641 	3108 	: 	: 	: 	: 	4193 	5605 	4843 	2347 	728 	33 	: 	: 	: 	17749 
PAS,PAS_CRD_DEP,ME_LYTV_UK_EGKK	: 	: 	: 	: 	: 	: 	: 	: 	1816 	8369 	2503 	: 	: 	: 	1816 	2782 	2877 	2710 	1818 	685 	: 	: 	: 	: 	12688 
SEAT,ST_PAS,ME_LYPG_AT_LOWW	34351 	18876 	12604 	11874 	9873 	7102 	5802 	5972 	26704 	38836 	30050 	19218 	6292 	6746 	13666 	11010 	14582 	13244 	11212 	9540 	9298 	6850 	6208 	6160 	114808 
SEAT,ST_PAS,ME_LYPG_BE_EBCI	9828 	9840 	3402 	3024 	3402 	3402 	3024 	3414 	9828 	9828 	9828 	9828 	3402 	3024 	3402 	3402 	3024 	3402 	3402 	3402 	3024 	3402 	3402 	3024 	39312 
SEAT,ST_PAS,ME_LYPG_CH_LSZH	: 	: 	: 	: 	: 	: 	: 	: 	9088 	16084 	12558 	6896 	2946 	2552 	3590 	4524 	5628 	5932 	5148 	4026 	3384 	2288 	1856 	2752 	44626 
SEAT,ST_PAS,ME_LYPG_DE_EDDB	10034 	9816 	3438 	3194 	3402 	3402 	3024 	3390 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SEAT,ST_PAS,ME_LYPG_DE_EDDF	: 	: 	: 	: 	: 	: 	: 	: 	7770 	13692 	10154 	6480 	2322 	1856 	3592 	4138 	4624 	4930 	4224 	2946 	2984 	2072 	1856 	2552 	38096 
SEAT,ST_PAS,ME_LYPG_FR_LFPG	: 	: 	: 	: 	: 	: 	: 	: 	8288 	21202 	18248 	6248 	2536 	1856 	3896 	5476 	8038 	7688 	5884 	7908 	4456 	2088 	1840 	2320 	53986 
SEAT,ST_PAS,ME_LYPG_IT_LIRF	24300 	15360 	8324 	7910 	8066 	5624 	4560 	5176 	16176 	20030 	18226 	15680 	5100 	4902 	6174 	6072 	7148 	6810 	6158 	6062 	6006 	5432 	5056 	5192 	70112 
